ID,Username,CreateDate,Biased,Keyword,CallingOut,Text
1699586996425904374,Yair_Rosenberg,2023-09-07 00:54:00+00:00,0,Jews,1,Talmud Destroyer is yet another earnest ADL critic whose sole issue is its approach to content moderation. Definitely no other problems with Jews. No sir.
1699618231642624056,marklevinshow,2023-09-07 02:58:00+00:00,0,Jews,0,"No, Musk did not blame the Jews, assh*le. He blamed a radical leftwing Obama hack who took control of a once revered ADL and turned it into a crap organization that doesn’t even support Israel, and promotes CRT, censorship, and the usual Democrat Party garbage. You want to talk antisemitism thy names are Obama, Biden, and scores of other vile Democrats.
https://finance.yahoo.com/news/column-elon-musk-comes-around-181016523.html"
1699753966131724482,emilykschrader,2023-09-07 11:58:00+00:00,0,Jews,1,"What can you expect from the leader of a society that is 93% antisemitic?

Abbas, who did a dissertation denying the Holocaust, claims Hitler didn’t kill Jews out of antisemitism rather because of their “usury”"
1699791977238442070,therealroseanne,2023-09-07 14:29:00+00:00,0,Jews,0,"As a Jew, I must say fuck the Azov battalion supporting ADL."
1699816845002322326,jacksonhinklle,2023-09-07 16:08:00+00:00,0,Jews,1,???? Putin: “It’s disgusting that an ethnic Jew is used to cover up the glorification of N?zism and those who led the Holoc?ust in Ukraine.”
1699842249595519477,ZelenskyyUa,2023-09-07 17:49:00+00:00,0,Jews,0,"During our call, 
@Netanyahu
 and I discussed how to ensure that the visa-free functions fully for Ukrainian citizens, as well as how to secure the safety of Hasidic Jews on their yearly pilgrimage to Uman.

Ukraine has always warmly welcomed pilgrims and took responsibility for their safety. Given the threat of Russian missiles and Iranian drones, this year’s pilgrimage comes with high security risks. Our bomb shelters have a capacity for around 11 thousand people. Swift joint action is required to ensure the safety of more people.

We also discussed ways for Israel to support Ukraine in countering Russian aggression, as well as the international cooperation between our states."
1699865667892076605,TheMossadIL,2023-09-07 19:22:00+00:00,0,Jews,1,"And the latest thing ""the Jews stole"" is... 

* ????*   

The Brit Milah!"
1700143384172585189,TheMossadIL,2023-09-08 13:45:00+00:00,0,Jews,1,"*sigh* another ridiculous Holocaust revision that's making its rounds that needs to be debunked. 

No there were no swimming pools for prisoners, especially Jews at the Auschwitz concentration camp.

This was a water reservoir meant for putting out fires. Eventually *guards* used it as a pool. 

This image is from a documentary about survivor stories of six women called ""Swimming in Auschwitz""."
1700204608411332660,atrupar,2023-09-08 17:49:00+00:00,0,Jews,1,Elon is now blaming the Jews for Trump getting banned from Twitter
1700276212294136188,ShimonLevit,2023-09-08 22:33:00+00:00,0,Jews,0,"Remember Samson and Delilah? David and Goliath? Biblical legends of Jews fighting with Philistines. In 12-10 century  BCE. Who were Greek invaders in five coastal cities - Gaza, Ashkelon, Ashdod, Gat and Ekron. Look at this brown strip on the map. The real Palestinians."
1700463912318054454,WillieHandler,2023-09-09 10:59:00+00:00,0,Jews,0,There's no way that this sandwich is legal.
1700796288525013054,AuschwitzMuseum,2023-09-10 09:00:00+00:00,0,Jews,0,"10 September 1937 | A Belgian Jewish boy, Marcel Alter, was born in Brussels. He lived in the Netherlands.

He arrived at #Auschwitz on 30 September 1942 in a transport of 610 Jews deported from #Westerbork. He was among 454 of them murdered in a gas chamber."
1700819787918504033,AuschwitzMuseum,2023-09-10 10:33:00+00:00,0,Jews,0,"""In an unprecedented move, the Vatican on Sunday beatified a Polish family of nine — a married couple and their small children — who were executed by the Nazis during World War II for sheltering Jews.

The Ulmas were killed at home by German Nazi troops and by Nazi-controlled local police in the small hours of March 24, 1944, together with the eight Jews they were hiding at their home, after they were apparently betrayed.

Jozef Ulma, 44, was a farmer, Catholic activist and amateur photographer who documented family and village life. He lived with his 31-year-old wife Wiktoria; their daughters Stanislawa, 7; Barbara, 6; Maria, 18 months; and sons Wladyslaw, 5; Franciszek, 3; and Antoni, 2.

With them were killed 70-year-old Saul Goldman with his sons Baruch, Mechel, Joachim and Mojzesz, along with Golda Grunfeld and her sister Lea Didner with her little daughter Reszla."""
1700856714868777354,AuschwitzMuseum,2023-09-10 13:00:00+00:00,0,Jews,0,"10 September 1893 | A Polish Jew, Mortka Gorlicki, was born in Chmielnik. He emigrated to France.

He arrived at #Auschwitz on 4 September 1943 in a transport of 1,000 Jews deported from Drancy. He was among 662 of them murdered in gas chambers after the selection."
1700858289376924041,elderofziyon,2023-09-10 13:06:00+00:00,0,Jews,1,"Isn't it interesting that the people who relish calling Israelis ""Nazis"" are the ones who support and praise organizations who explicitly say they want to murder seven million more Jews?"
1700955796807307347,Jerusalem_Post,2023-09-10 19:33:00+00:00,0,Jews,0,"Get Ready for a Night of Brilliance! ????  

Our Top 50 Most Influential Jews Gala Evening is approaching! ?  

Don't miss this extraordinary opportunity to mingle with the most  creative, innovative, and successful individuals shaping our world.  

Secure Your VIP Ticket NOW ?? http://jpost.com/50jews23-event/"
