,text_id,Text,tweet_id,Username,date_posted,post_location,post_likes,post_views
0,1.766152270796731e+18,A picture showing aid drops and Israeli airstrikes targeting civilian areas in northern Gaza at the same time.,1.766152270796731e+18,OnlinePalEng,2024-03-08T17:21:29.000Z,,6906.0,4019513.0
1,1.7197091442177398e+18,A Palestinian father reunites with his children after surviving Israeli missiles targeted their home in the southern city of Khan Younis in Gaza.,1.7197091442177398e+18,OnlinePalEng,2023-11-01T13:33:05.000Z,,43838.0,6939317.0
2,1.9317524521533852e+18,"“We carry no weapons - only solidarity, food, and medicine. We will not turn back. We stand with Gaza.”",1.9317524521533852e+18,EyeonPalestine,2025-06-08T16:37:29.000Z,,27050.0,310425.0
3,1.7638761144123187e+18,"A young Libyan Mohamed Alnaas produced a boycott video delivering a clear message, urging people to boycott products that support Israeli apartheid.",1.7638761144123187e+18,OnlinePalEng,2024-03-02T10:36:51.000Z,,174171.0,17430961.0
4,1.7112080285050432e+18,This is a war crime: Israeli forces are using internationally prohibited white phosphorus on heavily populated districts in the north of Gaza.,1.7112080285050432e+18,OnlinePalEng,2023-10-09T02:32:41.000Z,,29911.0,2754772.0
5,1.7136661463967421e+18,Students at Harvard University stand in support of Gaza and its people.,1.7136661463967421e+18,OnlinePalEng,2023-10-15T21:20:22.000Z,,38034.0,1476305.0
6,1.9332198371210038e+18,"A child with special needs clears rubble from the remains of his homeWith a weary body and unbreakable determination, this child tries to remove the traces of bombing from the place that was once his refuge.His disability didn't stop him from standing amid the destruction-his humanity stood as a witness to a pain beyond words.In Gaza, even the most vulnerable are forced to be strong.طفل من ذوي الاحتياجات الخاصة يزيل الركام من بين أنقاض منزله بجسدٍ منهك وعزيمة لا تنكسر، يحاول هذا الطفل أن يزيل آثار القصف عنالمكان الذي كان يومًا ملجآه.لم تمنعه إعاقته من الوقوف وسط الركام... بل وقفت إنسانيته شاهدة علىوجع لا يروى،في غزة، حتى الضعفاء مجبرون أن يكونوا أقوياء.",1.9332198371210038e+18,EyeonPalestine,2025-06-12T17:48:21.000Z,,15714.0,199245.0
7,1.9316596738720568e+18,Communication jam has begun. We are approx. 160 nautical miles away from Gaza. Help us to break the siege.,1.9316596738720568e+18,EyeonPalestine,2025-06-08T10:28:49.000Z,,71283.0,1106698.0
8,1.9308734226549274e+18,Eid al-Adha prayer from Gaza City,1.9308734226549274e+18,EyeonPalestine,2025-06-06T06:24:32.000Z,,33090.0,353526.0
9,1.7587571335987282e+18,Israel committed genocide in 1948Israel committed genocide in 1956Israel committed genocide in 1967Israel committed genocide in 1982Israel committed genocide in 2002Israel committed genocide in 2008Israel committed genocide in 2014Israel committed genocide in 2021Israel is currently committing genocide in 2023-24The same pain and the same killer!,1.7587571335987282e+18,OnlinePalEng,2024-02-17T07:35:51.000Z,,1908.0,60032.0
10,1.938658517738472e+18,"""Please, uncle... fill it for me, I beg you"" A little girl holds an empty pot, crying bitterly, pleading to have it filled with some food after being unable to push through the hungry crowd at the soup kitchen's door.In Gaza, even childhood is humiliated at the gates of mercy.""آمانة ياعمو... عَبّيلي آمانة""طفلة تحمل قدرًا فارغًا وتبكي بحرقة، تتوسّل أن يُملأ لها بالقليل من الطعام،بعدما عجزت عن مزاحمة الجياع عند باب التكية.في غزة، حتى الطفولة تُذلّ على أبواب الرحمة.",1.938658517738472e+18,EyeonPalestine,2025-06-27T17:59:43.000Z,,19985.0,590234.0
11,1.9423313495680456e+18,"Pro-Palestine activists formed a human map of Palestine at Spain’s San Fermin Festival, yesterday. Chants of “Palestine is not alone” bellowed through the streets.",1.9423313495680456e+18,EyeonPalestine,2025-07-07T21:14:15.000Z,,18320.0,581968.0
12,1.7495289156163584e+18,"Being there in your own quiet, but being there at your loudest!Heart-touching scenes showing deaf community taking part in a mass protest in Australia to demand an immediate ceasefire in Gaza.",1.7495289156163584e+18,OnlinePalEng,2024-01-22T20:26:12.000Z,,35107.0,1298605.0
13,1.9444259170920737e+18,We don't care what religion anyone is...or if they've one at all. We love all sound cunts. Smiling and signing bombs dropped to murder kids and other people's families just makes you a straight up cunt. Simple as. Free Palestine 🇵🇸,1.9444259170920737e+18,KNEECAPCEOL,2025-07-13T15:57:18.000Z,,38251.0,1043392.0
14,1.9252204202502228e+18,"An American woman weeps over the plight of Gaza’s children. “How do you sleep while the children of Gaza are hungry? Please tell me what I can do I’m just a mother from Nevada. How can I help end the suffering in Gaza? Thousands are dying of hunger, children don’t have milk.”سيدة أمريكية تبكي على حال أطفال غزة:”كيف تنامون وأطفال غزة جياع؟ أرجوكم أخبروني ما الذي يمكن أن أفعله، أنا مجرد أم من نيفادا كيف يمكنني المساعدة في وقف معاناة غزة؟ هناك الآلاف يموتون جوعًا وأطفال لا يملكون الحليب ونحن نعيش حياتنا الطبيعية”.",1.9252204202502228e+18,EyeonPalestine,2025-05-21T16:01:31.000Z,,21967.0,214478.0
15,1.9395844933014735e+18,Artists at Glastonbury continue to use their platform to speak out against Israels genocide in Gaza.This was displayed by Fontaines DC during their set.,1.9395844933014735e+18,EyeonPalestine,2025-06-30T07:19:13.000Z,,36882.0,358530.0
16,1.9138544029363284e+18,The little kid Ahmed Hejazi (7) lost his sight during the war against Gaza.,1.9138544029363284e+18,EyeonPalestine,2025-04-20T07:17:02.000Z,,15597.0,221079.0
17,1.9416033750340078e+18,"Despite facing backlash, including the U.S. canceling the band's visas and condemnation from the UK government, renowned British duo Bob Vylan renewed their advocacy during a concert in Athens. In his speech, he addressed the distractions used against the cause and called on people to keep waving Palestinian flags and speaking on behalf of the Palestinian people.",1.9416033750340078e+18,EyeonPalestine,2025-07-05T21:01:32.000Z,,16919.0,96258.0
18,1.7511199006663803e+18,"Spotted in a pro-Palestine demonstration in Ottawa, Canada.",1.7511199006663803e+18,OnlinePalEng,2024-01-27T05:48:13.000Z,,112283.0,1535040.0
19,1.9091879145771502e+18,"The mother of the Palestinian-American Amer Rabea' (14) bids farewell to her son who was shot dead by the occupation forces in the village of Turmusayya, north of Ramallah.",1.9091879145771502e+18,EyeonPalestine,2025-04-07T10:14:04.000Z,,22861.0,244063.0
20,1.93913354717798e+18,me when they made fun of dexter at his first crime scene in original sin,1.93913354717798e+18,lTKlLLER,2025-06-29T01:27:19.000Z,,196.0,6259.0
21,1.7124606311005926e+18,A Palestinian man inspects the destruction of his house targeted by Israeli occupation warplanes in Gaza.,1.7124606311005926e+18,OnlinePalEng,2023-10-12T13:30:05.000Z,,49037.0,9622391.0
22,1.9313479357126454e+18,"Day 7 aboard The Madleen.We're 288 miles from Gaza, sailing with nothing but aid-while others send weapons.This is not a performance. This is a call to action.",1.9313479357126454e+18,EyeonPalestine,2025-06-07T13:50:05.000Z,,27856.0,300855.0
